﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"Public","https://fbaint.sharepoint.com/sites/Public","False",,"Open","815.65",,"","Team site","8/1/2025 5:00:00 PM","3/21/2023 4:17:51 AM","Public Owners","25600","0.03","True","2504","120","8","172375",,"Off"
"Marketing","https://fbaint.sharepoint.com/sites/Marketing","False",,"Open","6063.90",,"","Team site","8/1/2025 5:00:00 PM","2/6/2023 4:40:10 PM","Marketing Owners","25600","0.24","True","8114","412","11","132791",,"Off"
"Buyers","https://fbaint.sharepoint.com/sites/Buyers","False",,"Open","211.35",,"","Team site","8/1/2025 5:00:00 PM","3/21/2023 10:15:58 PM","Buyers Owners","25600","0.01","True","1012","76","9","100316",,"Off"
"Journe Finance","https://fbaint.sharepoint.com/sites/JourneFinance","False",,"Open","43.42",,"","Team site","8/1/2025 5:00:00 PM","7/23/2025 4:56:27 PM","Debra Tippett","25600","0.00","True","115466","221","18","92100",,"On"
"Journe IT","https://fbaint.sharepoint.com/sites/JourneIT","False",,"Open","41.80",,"","Team site","7/31/2025 5:00:00 PM","3/4/2025 1:25:40 PM","Debra Tippett","25600","0.00","True","1943","18","4","46517",,"On"
"April China Trip and Canton Fair","https://fbaint.sharepoint.com/sites/AprilChinaTripandCantonFair","False",,"Open","156.38",,"","Team site","8/1/2025 5:00:00 PM","4/27/2023 6:46:07 PM","April China Trip and Canton Fair Owners","25600","0.01","True","431","26","6","19682",,"On"
"Finance Management","https://fbaint.sharepoint.com/sites/FinanceManagement","False",,"Open","16.66",,"","Team site","7/31/2025 5:00:00 PM","7/23/2025 5:14:17 PM","Debra Tippett","25600","0.00","True","14056","160","10","13867",,"On"
"DesignChina","https://fbaint.sharepoint.com/sites/DesignChina","False",,"Open","516.76",,"","Team site","7/29/2025 5:00:00 PM","7/8/2024 5:34:18 PM","Debra Tippett","25600","0.02","True","287","13","4","6104",,"On"
"FBA","https://fbaint.sharepoint.com/sites/FBA","False",,"Open","8.25",,"","Team site","5/27/2025 5:00:00 PM","4/10/2022 12:46:09 PM","FBA Owners","25600","0.00","True","0","0","0","5841",,"On"
"JounreHR","https://fbaint.sharepoint.com/sites/JounreHR","False",,"Open","12.87",,"","Team site","7/22/2025 5:00:00 PM","4/2/2023 6:59:06 PM","JounreHR Owners","25600","0.00","True","5","4","3","3630",,"On"
"Design","https://fbaint.sharepoint.com/sites/Design","False",,"Open","572.25",,"","Team site","8/1/2025 5:00:00 PM","9/10/2023 9:14:05 PM","Design Owners","25600","0.02","True","2324","33","6","3058",,"On"
"Sales","https://fbaint.sharepoint.com/sites/Sales","True",,"Open","3.43",,"","Team site","8/1/2025 5:00:00 PM","3/26/2024 3:28:19 PM","Sales Owners","25600","0.00","True","9","14","2","1409",,"On"
"Fadi Ali","https://fbaint.sharepoint.com/sites/FadiAli","False",,"Open","5.23",,"","Team site","8/1/2025 5:00:00 PM","4/30/2025 5:32:42 PM","Debra Tippett","25600","0.00","True","205","0","0","1291",,"On"
"Digital Website Team","https://fbaint.sharepoint.com/sites/DigitalWebsiteTeam","True",,"Open","0.14",,"","Team site","2/1/2023 4:00:00 PM","1/10/2023 4:19:58 PM","Digital Website Team Owners","25600","0.00","True","0","0","0","1082",,"On"
"Sabrina share docs","https://fbaint.sharepoint.com/sites/Sabrinasharedocs","False",,"Open","1.45",,"","Team site","6/16/2025 5:00:00 PM","3/27/2024 11:12:23 PM","Sabrina share docs Owners","25600","0.00","True","0","0","0","555",,"On"
"JourneCostings","https://fbaint.sharepoint.com/sites/JourneCostings","False",,"Open","22.74",,"","Team site","8/1/2025 5:00:00 PM","9/10/2024 9:03:53 PM","Debra Tippett","25600","0.00","True","74","20","7","479",,"On"
"Finance Reporting","https://fbaint.sharepoint.com/sites/FinanceReporting","False",,"Open","2.71",,"","Team site","7/31/2025 5:00:00 PM","1/9/2024 1:55:32 PM","Finance Reporting Owners","25600","0.00","True","50","8","4","386",,"On"
"ERP","https://fbaint.sharepoint.com/sites/ERP2","False",,"Open","1.99",,"","Team site","8/1/2025 5:00:00 PM","6/27/2024 6:18:44 PM","Debra Tippett","25600","0.00","True","39","27","5","226",,"On"
"SalesUK_EU","https://fbaint.sharepoint.com/sites/SalesUK_EU","False",,"Open","0.46",,"","Team site","7/31/2025 5:00:00 PM","7/31/2024 4:39:21 PM","Debra Tippett","25600","0.00","True","15","30","2","45",,"On"
"Lincoln D&T","https://fbaint.sharepoint.com/sites/LincolnDT","True",,"Open","0.05",,"","Team site","6/24/2024 5:00:00 PM","5/24/2022 3:18:35 PM","Lincoln D&T Owners","25600","0.00","True","0","0","0","43",,"On"
"Procurement Aust","https://fbaint.sharepoint.com/sites/PurchasingAust","True",,"Open","0.23",,"","Team site","12/3/2024 4:00:00 PM","8/8/2021 4:54:50 PM","Purchasing Aust Owners","25600","0.00","True","0","0","0","31",,"On"
"BSM Implementation","https://fbaint.sharepoint.com/sites/BSMImplementation","True",,"Open","0.01",,"","Team site","1/22/2025 4:00:00 PM","6/26/2023 7:56:28 PM","BSM Implementation Owners","25600","0.00","True","0","0","0","27",,"On"
"SalesUSA","https://fbaint.sharepoint.com/sites/SalesUSA","False",,"Open","0.16",,"","Team site","7/31/2025 5:00:00 PM","3/26/2024 3:34:29 PM","SalesUSA Owners","25600","0.00","True","1","0","0","21",,"On"
"Fadi & Gemma Catch Up","https://fbaint.sharepoint.com/sites/FadiGemmaCatchUp","True",,"Open","0.12",,"","Team site","7/31/2025 5:00:00 PM","8/2/2021 1:50:26 AM","Fadi & Gemma Catch Up Owners","25600","0.00","True","2","4","2","20",,"On"
